Year,Month,National Unemployment Rate,Maryland Unemployment Rate,National Jobs Created/Lost,Maryland Jobs Created/Lost,National Jobs,Maryland Jobs,Maryland Civilian Labor Force,Maryland Employment,Maryland Unemployment,Maryland Job Growth Since Post Recession Bottom,Jobs Recovered Goal (to Reach Pre-Recession Peak),% Jobs Recovered (Maryland)
2010,Sep-10,9.5,7.8,-57000,-2400,130296000,2523100,3082743,2842009,240734,55200,148000,37.3%
2010,Oct-10,9.5,7.8,241000,7800,130537000,2530900,3085313,2845804,239509,63000,148000,42.6%
2010,Nov-10,9.8,7.7,137000,-3300,130674000,2527600,3087428,2850636,236792,59700,148000,40.3%
2010,Dec-10,9.4,7.5,71000,3200,130745000,2530800,3088875,2855939,232936,62900,148000,42.5%
2011,Jan-11,9.1,7.4,70000,-1200,130815000,2529600,3090500,2861634,228866,61700,148000,41.7%
2011,Feb-11,9,7.3,168000,4900,130983000,2534500,3092356,2866812,225544,66600,148000,45.0%
2011,Mar-11,9,7.2,212000,2000,131195000,2536500,3093118,2869533,223585,68600,148000,46.4%
2011,Apr-11,9.1,7.2,322000,1500,131517000,2538000,3092373,2868694,223679,70100,145800,47.4%
2011,May-11,9,7.3,102000,1000,131619000,2539000,3091083,2865093,225990,71100,148000,48.0%
2011,Jun-11,9.1,7.4,217000,2200,131836000,2541200,3090689,2861523,229166,73300,148000,49.5%
2011,Jul-11,9,7.5,106000,8100,131942000,2549300,3092086,2860797,231289,81400,148000,55.0%
2011,Aug-11,9,7.5,122000,-6500,132064000,2542800,3095294,2864046,231248,74900,148000,50.6%
2011,Sep-11,9,7.4,221000,5700,132285000,2548500,3099688,2870751,228937,80600,148000,54.5%
2011,Oct-11,8.8,7.3,183000,2800,132468000,2551300,3104505,2879372,225133,83400,148000,56.4%
2011,Nov-11,8.6,7.1,164000,-300,132632000,2551000,3108533,2887816,220717,83100,148000,56.1%
2011,Dec-11,8.5,7,196000,4500,132828000,2555500,3111572,2894901,216671,87600,148000,59.2%
2012,Jan-12,8.3,6.9,360000,8400,133188000,2563900,3113922,2900569,213353,96000,148000,64.9%
2012,Feb-12,8.3,6.8,226000,2300,133414000,2566200,3116660,2905158,211502,98300,148000,66.4%
2012,Mar-12,8.2,6.8,243000,6900,133657000,2573100,3119141,2907655,211486,105200,148000,71.1%
2012,Apr-12,8.2,6.8,96000,-6500,133753000,2566600,3120416,2907360,213056,98700,148000,66.7%
2012,May-12,8.2,6.9,110000,3200,133863000,2569800,3120941,2905176,215765,101900,148000,68.9%
2012,Jun-12,8.2,7,88000,3700,133951000,2573500,3121612,2903264,218348,105600,148000,71.4%
2012,Jul-12,8.2,7,160000,-2400,134111000,2571100,3123420,2903447,219973,103200,148000,69.7%
2012,Aug-12,8.1,7,150000,2800,134261000,2573900,3126548,2906442,220106,106000,148000,71.6%
2012,Sep-12,7.8,7,161000,7600,134422000,2581500,3130964,2911801,219163,113600,148000,76.8%
2012,Oct-12,7.8,6.9,225000,1000,134647000,2582500,3135604,2917710,217894,114600,148000,77.4%
2012,Nov-12,7.8,6.9,203000,3000,134850000,2585500,3138939,2922463,216476,117600,148000,79.5%
2012,Dec-12,7.9,6.9,214000,900,135064000,2586400,3140858,2925600,215258,118500,148000,80.1%
2013,Jan-13,7.9,6.8,197000,4600,135261000,2591000,3141368,2927444,213924,123100,148000,83.2%
2013,Feb-13,7.7,6.8,280000,4000,135541000,2595000,3141186,2928690,212496,127100,148000,85.9%
2013,Mar-13,7.5,6.7,141000,-2500,135682000,2592500,3140441,2929100,211341,124600,148000,84.2%
2013,Apr-13,7.5,6.7,203000,-400,135885000,2592100,3139079,2928528,210551,124200,148000,83.9%
2013,May-13,7.5,6.7,199000,2800,136084000,2594900,3136530,2925976,210554,127000,148000,85.8%
2013,Jun-13,7.5,6.7,201000,200,136285000,2595100,3132832,2922014,210818,127200,148000,85.9%
2013,Jul-13,7.3,6.7,149000,-1200,136434000,2593900,3128318,2918215,210103,126000,148000,85.1%
2013,Aug-13,7.2,6.6,202000,3100,136636000,2597000,3123364,2916002,207362,129100,148000,87.2%
2013,Sep-13,7.2,6.5,164000,500,136800000,2597500,3118343,2915460,202883,129600,148000,87.6%
2013,Oct-13,7.2,6.4,237000,700,137037000,2598200,3113940,2916090,197850,130300,148000,88.0%
2013,Nov-13,7,6.2,274000,6800,137311000,2605000,3109789,2917112,192677,137100,148000,92.6%
2013,Dec-13,6.7,6.1,84000,4300,137395000,2609300,3107008,2919013,187995,141400,148000,95.5%
2014,Jan-14,6.6,5.8,144000,-6100,137539000,2603200,3109348,2927735,181613,135300,148000,91.4%
2014,Feb-14,6.7,5.6,222000,1000,137761000,2604200,3109151,2933498,175653,136300,148000,92.1%
2014,Mar-14,6.7,5.6,203000,3500,137964000,2606500,3108307,2934224,174083,139800,148000,93.6%
2014,Apr-14,6.3,5.5,288000,9300,138252000,2617000,3110695,2938947,171748,149100,148000,100.0%
